 "LAT","LON","SFCWind (m/s)"   
  -89.00    0.00  2.5624
  -89.00    1.00  2.7979
  -89.00    2.00  3.2687
  -89.00    3.00  3.8017
  -89.00    4.00  4.3967
  -89.00    5.00  4.2836
  -89.00    6.00  3.4622
  -89.00    7.00  2.8905
  -89.00    8.00  2.5683
  -89.00    9.00  2.4156
  -89.00   10.00  2.4324
  -89.00   11.00  2.3796
  -89.00   12.00  2.2573
  -89.00   13.00  2.2523
  -89.00   14.00  2.3647
  -89.00   15.00  2.4832
  -89.00   16.00  2.6080
  -89.00   17.00  2.7668
  -89.00   18.00  2.9598
  -89.00   19.00  3.7967
  -89.00   20.00  5.2777
  -89.00   21.00  6.4284
  -89.00   22.00  7.2488
  -89.00   23.00  7.4108
  -89.00   24.00  6.9142
  -89.00   25.00  6.6751
  -89.00   26.00  6.6933
  -89.00   27.00  6.9217
  -89.00   28.00  7.3602
  -89.00   29.00  7.7931
  -89.00   30.00  8.2203
  -89.00   31.00  8.6780
  -89.00   32.00  9.1661
  -89.00   33.00  9.6681
  -89.00   34.00 10.1840
  -89.00   35.00 10.5826
  -89.00   36.00 10.8638
  -89.00   37.00 11.0805
  -89.00   38.00 11.2325
  -89.00   39.00 11.2957
  -89.00   40.00 11.2700
  -89.00   41.00 11.1857
  -89.00   42.00 11.0428
  -89.00   43.00 10.7708
  -89.00   44.00 10.3698
  -89.00   45.00  9.9888
  -89.00   46.00  9.6278
  -89.00   47.00  9.1999
  -89.00   48.00  8.7049
  -89.00   49.00  8.1663
  -89.00   50.00  7.5842
  -89.00   51.00  7.0356
  -89.00   52.00  6.5205
  -89.00   53.00  6.0002
  -89.00   54.00  5.4748
  -89.00   55.00  5.0712
  -89.00   56.00  4.7895
  -89.00   57.00  4.6478
  -89.00   58.00  4.6463
  -89.00   59.00  4.8886
  -89.00   60.00  5.3749
  -89.00   61.00  5.8892
  -89.00   62.00  6.4314
  -89.00   63.00  6.8883
  -89.00   64.00  7.2597
  -89.00   65.00  7.5537
  -89.00   66.00  7.7703
  -89.00   67.00  7.9070
  -89.00   68.00  7.9638
  -89.00   69.00  7.9079
  -89.00   70.00  7.7394
  -89.00   71.00  7.4954
  -89.00   72.00  7.1760
  -89.00   73.00  6.8377
  -89.00   74.00  6.4803
  -89.00   75.00  6.1176
  -89.00   76.00  5.7496
  -89.00   77.00  5.3871
  -89.00   78.00  5.0302
  -89.00   79.00  4.6858
  -89.00   80.00  4.3540
  -89.00   81.00  4.1355
  -89.00   82.00  4.0303
  -89.00   83.00  3.8707
  -89.00   84.00  3.6567
  -89.00   85.00  3.4122
  -89.00   86.00  3.1370
  -89.00   87.00  2.8323
  -89.00   88.00  2.4980
  -89.00   89.00  2.2295
  -89.00   90.00  2.0268
  -89.00   91.00  1.8943
  -89.00   92.00  1.8320
  -89.00   93.00  1.8229
  -89.00   94.00  1.8670
  -89.00   95.00  1.6720
  -89.00   96.00  1.2379
  -89.00   97.00  1.1869
  -89.00   98.00  1.5188
  -89.00   99.00  1.7931
  -89.00  100.00  2.0099
  -89.00  101.00  2.2728
  -89.00  102.00  2.5819
  -89.00  103.00  2.8779
  -89.00  104.00  3.1608
  -89.00  105.00  3.2326
  -89.00  106.00  3.0933
  -89.00  107.00  3.0508
  -89.00  108.00  3.1050
  -89.00  109.00  3.0939
  -89.00  110.00  3.0176
  -89.00  111.00  2.9546
  -89.00  112.00  2.9051
  -89.00  113.00  2.9468
  -89.00  114.00  3.0797
  -89.00  115.00  3.1855
  -89.00  116.00  3.2642
  -89.00  117.00  3.2597
  -89.00  118.00  3.1720
  -89.00  119.00  3.0963
  -89.00  120.00  3.0324
  -89.00  121.00  3.0185
  -89.00  122.00  3.0547
  -89.00  123.00  3.2882
  -89.00  124.00  3.7190
  -89.00  125.00  4.7156
  -89.00  126.00  6.2780
  -89.00  127.00  7.0472
  -89.00  128.00  7.0233
  -89.00  129.00  6.3728
  -89.00  130.00  5.0958
  -89.00  131.00  4.2511
  -89.00  132.00  3.8387
  -89.00  133.00  3.9370
  -89.00  134.00  4.5459
  -89.00  135.00  4.7625
  -89.00  136.00  4.5869
  -89.00  137.00  4.4773
  -89.00  138.00  4.4339
  -89.00  139.00  4.5304
  -89.00  140.00  4.7669
  -89.00  141.00  5.7095
  -89.00  142.00  7.3583
  -89.00  143.00  8.6582
  -89.00  144.00  9.6093
  -89.00  145.00 10.2232
  -89.00  146.00 10.4999
  -89.00  147.00 10.4747
  -89.00  148.00 10.1476
  -89.00  149.00  9.8884
  -89.00  150.00  9.6972
  -89.00  151.00  9.4469
  -89.00  152.00  9.1375
  -89.00  153.00  8.8531
  -89.00  154.00  8.5936
  -89.00  155.00  8.3848
  -89.00  156.00  8.2267
  -89.00  157.00  8.1540
  -89.00  158.00  8.1668
  -89.00  159.00  8.3703
  -89.00  160.00  8.7647
  -89.00  161.00  9.1519
  -89.00  162.00  9.5321
  -89.00  163.00  9.8367
  -89.00  164.00 10.0659
  -89.00  165.00 10.0385
  -89.00  166.00  9.7544
  -89.00  167.00  9.4087
  -89.00  168.00  9.0014
  -89.00  169.00  8.5653
  -89.00  170.00  8.1003
  -89.00  171.00  7.6851
  -89.00  172.00  7.3196
  -89.00  173.00  7.1936
  -89.00  174.00  7.3070
  -89.00  175.00  7.4283
  -89.00  176.00  7.5575
  -89.00  177.00  7.5447
  -89.00  178.00  7.3899
  -89.00  179.00  7.3125
  -88.00    0.00  2.5806
  -88.00    1.00  2.8249
  -88.00    2.00  3.3137
  -88.00    3.00  3.8530
  -88.00    4.00  4.4427
  -88.00    5.00  4.3083
  -88.00    6.00  3.4497
  -88.00    7.00  2.8481
  -88.00    8.00  2.5037
  -88.00    9.00  2.3291
  -88.00   10.00  2.3243
  -88.00   11.00  2.2668
  -88.00   12.00  2.1567
  -88.00   13.00  2.1597
  -88.00   14.00  2.2759
  -88.00   15.00  2.4301
  -88.00   16.00  2.6224
  -88.00   17.00  2.7734
  -88.00   18.00  2.8830
  -88.00   19.00  3.6306
  -88.00   20.00  5.0161
  -88.00   21.00  6.1709
  -88.00   22.00  7.0951
  -88.00   23.00  7.3403
  -88.00   24.00  6.9067
  -88.00   25.00  6.6685
  -88.00   26.00  6.6257
  -88.00   27.00  6.8283
  -88.00   28.00  7.2763
  -88.00   29.00  7.7097
  -88.00   30.00  8.1286
  -88.00   31.00  8.5733
  -88.00   32.00  9.0440
  -88.00   33.00  9.5571
  -88.00   34.00 10.1127
  -88.00   35.00 10.5333
  -88.00   36.00 10.8188
  -88.00   37.00 11.0380
  -88.00   38.00 11.1909
  -88.00   39.00 11.2628
  -88.00   40.00 11.2539
  -88.00   41.00 11.1797
  -88.00   42.00 11.0403
